receipt_id,order_id,customer_id,customer_name,customer_email,order_date,total_order_amount,product_id,product_name,product_category,item_quantity,item_price,item_total
17,9,1,Customer 1,customer1@example.com,2026-03-01 01:09:55,54,8265,Product 8265,Electronics,7,35.12,245.83999999999997
18,10,1,Customer 1,customer1@example.com,2026-03-01 01:18:40,97,6170,Product 6170,Home Goods,2,90.82,181.64
19,11,1,Customer 1,customer1@example.com,2026-03-01 01:27:24,667,9932,Product 9932,Home Goods,7,22.77,159.39
20,11,1,Customer 1,customer1@example.com,2026-03-01 01:27:24,667,9213,Product 9213,Electronics,8,26.61,212.88
21,11,1,Customer 1,customer1@example.com,2026-03-01 01:27:24,667,6438,Product 6438,Electronics,6,66.3,397.79999999999995
22,12,1,Customer 1,customer1@example.com,2026-03-01 01:36:09,1000,2809,Product 2809,Books,10,9.37,93.69999999999999
23,13,1,Customer 1,customer1@example.com,2026-03-01 01:44:53,783,7174,Product 7174,Books,2,1.04,2.08
24,13,1,Customer 1,customer1@example.com,2026-03-01 01:44:53,783,7338,Product 7338,Electronics,5,42.87,214.35
25,13,1,Customer 1,customer1@example.com,2026-03-01 01:44:53,783,1438,Product 1438,Books,2,55.17,110.34
26,14,1,Customer 1,customer1@example.com,2026-03-01 01:53:38,92,2414,Product 2414,Home Goods,10,73.03,730.3
27,14,1,Customer 1,customer1@example.com,2026-03-01 01:53:38,92,5328,Product 5328,Electronics,1,33.34,33.34
28,15,1,Customer 1,customer1@example.com,2026-03-01 02:02:22,985,1370,Product 1370,Home Goods,3,72.59,217.77
29,15,1,Customer 1,customer1@example.com,2026-03-01 02:02:22,985,1070,Product 1070,Home Goods,6,44.07,264.42
30,15,1,Customer 1,customer1@example.com,2026-03-01 02:02:22,985,8590,Product 8590,Books,2,25.32,50.64
31,16,1,Customer 1,customer1@example.com,2026-03-01 02:11:07,6,1065,Product 1065,Electronics,3,59.37,178.10999999999999
32,16,1,Customer 1,customer1@example.com,2026-03-01 02:11:07,6,6988,Product 6988,Books,3,27.24,81.72
33,16,1,Customer 1,customer1@example.com,2026-03-01 02:11:07,6,6165,Product 6165,Electronics,4,46.88,187.52
34,17,1,Customer 1,customer1@example.com,2026-03-01 02:19:51,669,3322,Product 3322,Books,2,49.53,99.06
35,18,1,Customer 1,customer1@example.com,2026-03-01 02:28:35,313,1533,Product 1533,Electronics,3,43.87,131.60999999999999
36,18,1,Customer 1,customer1@example.com,2026-03-01 02:28:35,313,6935,Product 6935,Home Goods,1,56.1,56.1
37,18,1,Customer 1,customer1@example.com,2026-03-01 02:28:35,313,3811,Product 3811,Books,9,65.22,586.98
38,19,1,Customer 1,customer1@example.com,2026-03-01 02:37:20,902,2887,Product 2887,Books,6,51.48,308.88
39,20,1,Customer 1,customer1@example.com,2026-03-01 02:46:04,224,5809,Product 5809,Books,10,87.3,873.0
40,21,1,Customer 1,customer1@example.com,2026-03-01 02:54:49,958,1983,Product 1983,Electronics,8,16.26,130.08
41,21,1,Customer 1,customer1@example.com,2026-03-01 02:54:49,958,3548,Product 3548,Home Goods,3,14.26,42.78
42,22,1,Customer 1,customer1@example.com,2026-03-01 03:03:33,315,8808,Product 8808,Electronics,10,85.01,850.1
43,22,1,Customer 1,customer1@example.com,2026-03-01 03:03:33,315,2491,Product 2491,Books,3,13.62,40.86
44,23,1,Customer 1,customer1@example.com,2026-03-01 03:12:18,139,8313,Product 8313,Electronics,8,73.98,591.84
45,23,1,Customer 1,customer1@example.com,2026-03-01 03:12:18,139,4696,Product 4696,Books,10,88.76,887.6
46,23,1,Customer 1,customer1@example.com,2026-03-01 03:12:18,139,9082,Product 9082,Books,1,44.44,44.44
47,24,1,Customer 1,customer1@example.com,2026-03-01 03:21:02,388,5428,Product 5428,Books,5,62.81,314.05
48,25,1,Customer 1,customer1@example.com,2026-03-01 03:29:47,129,7767,Product 7767,Electronics,4,61.96,247.84
49,26,1,Customer 1,customer1@example.com,2026-03-01 03:38:31,381,8683,Product 8683,Books,2,10.16,20.32
50,26,1,Customer 1,customer1@example.com,2026-03-01 03:38:31,381,4432,Product 4432,Books,9,32.78,295.02
51,26,1,Customer 1,customer1@example.com,2026-03-01 03:38:31,381,4381,Product 4381,Books,10,50.85,508.5
52,27,1,Customer 1,customer1@example.com,2026-03-01 03:47:16,491,8691,Product 8691,Electronics,1,71.37,71.37
53,27,1,Customer 1,customer1@example.com,2026-03-01 03:47:16,491,3334,Product 3334,Books,10,27.02,270.2
54,28,1,Customer 1,customer1@example.com,2026-03-01 03:56:00,371,9283,Product 9283,Books,9,48.86,439.74
55,29,1,Customer 1,customer1@example.com,2026-03-01 04:04:45,486,2778,Product 2778,Electronics,6,43.99,263.94
56,30,1,Customer 1,customer1@example.com,2026-03-01 04:13:29,63,8952,Product 8952,Electronics,6,65.21,391.26
57,31,1,Customer 1,customer1@example.com,2026-03-01 04:22:14,597,504,Product 504,Electronics,2,65.64,131.28
58,31,1,Customer 1,customer1@example.com,2026-03-01 04:22:14,597,34,Product 34,Books,8,56.36,450.88
59,32,1,Customer 1,customer1@example.com,2026-03-01 04:30:58,781,5667,Product 5667,Electronics,6,57.21,343.26
60,32,1,Customer 1,customer1@example.com,2026-03-01 04:30:58,781,3273,Product 3273,Electronics,7,98.86,692.02
61,33,1,Customer 1,customer1@example.com,2026-03-01 04:39:43,674,3024,Product 3024,Electronics,5,7.07,35.35
62,33,1,Customer 1,customer1@example.com,2026-03-01 04:39:43,674,3750,Product 3750,Electronics,10,36.99,369.90000000000003
63,34,1,Customer 1,customer1@example.com,2026-03-01 04:48:27,941,4487,Product 4487,Home Goods,6,100.61,603.66
64,35,1,Customer 1,customer1@example.com,2026-03-01 04:57:11,503,8425,Product 8425,Books,6,59.85,359.1
65,35,1,Customer 1,customer1@example.com,2026-03-01 04:57:11,503,2364,Product 2364,Electronics,3,48.45,145.35000000000002
66,35,1,Customer 1,customer1@example.com,2026-03-01 04:57:11,503,7997,Product 7997,Home Goods,8,85.71,685.68
67,36,1,Customer 1,customer1@example.com,2026-03-01 05:05:56,454,7060,Product 7060,Books,2,40.26,80.52
68,36,1,Customer 1,customer1@example.com,2026-03-01 05:05:56,454,3492,Product 3492,Electronics,7,14.88,104.16000000000001
69,37,1,Customer 1,customer1@example.com,2026-03-01 05:14:40,294,2335,Product 2335,Books,1,1.16,1.16
70,38,1,Customer 1,customer1@example.com,2026-03-01 05:23:25,27,5148,Product 5148,Electronics,6,38.68,232.07999999999998
71,38,1,Customer 1,customer1@example.com,2026-03-01 05:23:25,27,3463,Product 3463,Books,2,72.59,145.18
72,39,1,Customer 1,customer1@example.com,2026-03-01 05:32:09,919,7199,Product 7199,Home Goods,10,40.55,405.5
73,39,1,Customer 1,customer1@example.com,2026-03-01 05:32:09,919,8491,Product 8491,Books,9,81.17,730.53
74,40,1,Customer 1,customer1@example.com,2026-03-01 05:40:54,474,8802,Product 8802,Electronics,9,94.83,853.47
75,41,1,Customer 1,customer1@example.com,2026-03-01 05:49:38,88,121,Product 121,Books,1,16.56,16.56
76,41,1,Customer 1,customer1@example.com,2026-03-01 05:49:38,88,7292,Product 7292,Home Goods,8,59.93,479.44
77,42,1,Customer 1,customer1@example.com,2026-03-01 05:58:23,191,4350,Product 4350,Electronics,6,76.96,461.76
78,43,1,Customer 1,customer1@example.com,2026-03-01 06:07:07,409,1022,Product 1022,Home Goods,8,56.99,455.92
79,43,1,Customer 1,customer1@example.com,2026-03-01 06:07:07,409,1900,Product 1900,Books,7,20.34,142.38
80,44,1,Customer 1,customer1@example.com,2026-03-01 06:15:52,881,3511,Product 3511,Books,6,27.99,167.94
81,45,1,Customer 1,customer1@example.com,2026-03-01 06:24:36,127,1188,Product 1188,Electronics,6,28.61,171.66
82,46,1,Customer 1,customer1@example.com,2026-03-01 06:33:21,459,9304,Product 9304,Books,10,94.74,947.4
83,47,1,Customer 1,customer1@example.com,2026-03-01 06:42:05,807,1608,Product 1608,Electronics,9,31.88,286.92
84,48,1,Customer 1,customer1@example.com,2026-03-01 06:50:50,554,4361,Product 4361,Home Goods,5,28.76,143.8
85,49,1,Customer 1,customer1@example.com,2026-03-01 06:59:34,737,376,Product 376,Books,4,50.3,201.2
86,50,1,Customer 1,customer1@example.com,2026-03-01 07:08:19,436,3718,Product 3718,Books,3,65.85,197.54999999999998
87,50,1,Customer 1,customer1@example.com,2026-03-01 07:08:19,436,58,Product 58,Books,4,14.49,57.96
88,50,1,Customer 1,customer1@example.com,2026-03-01 07:08:19,436,4263,Product 4263,Electronics,2,67.7,135.4
89,51,1,Customer 1,customer1@example.com,2026-03-01 07:17:03,388,1132,Product 1132,Books,4,65.31,261.24
90,51,1,Customer 1,customer1@example.com,2026-03-01 07:17:03,388,4689,Product 4689,Electronics,6,60.71,364.26
91,52,1,Customer 1,customer1@example.com,2026-03-01 07:25:47,683,3079,Product 3079,Books,3,66.11,198.32999999999998
92,52,1,Customer 1,customer1@example.com,2026-03-01 07:25:47,683,1331,Product 1331,Home Goods,5,32.67,163.35000000000002
93,53,1,Customer 1,customer1@example.com,2026-03-01 07:34:32,240,3966,Product 3966,Electronics,8,92.95,743.6
94,53,1,Customer 1,customer1@example.com,2026-03-01 07:34:32,240,8401,Product 8401,Books,3,36.28,108.84
95,53,1,Customer 1,customer1@example.com,2026-03-01 07:34:32,240,5846,Product 5846,Home Goods,9,68.12,613.08
96,54,1,Customer 1,customer1@example.com,2026-03-01 07:43:16,585,994,Product 994,Books,7,50.25,351.75
97,54,1,Customer 1,customer1@example.com,2026-03-01 07:43:16,585,5185,Product 5185,Books,7,60.4,422.8
98,54,1,Customer 1,customer1@example.com,2026-03-01 07:43:16,585,6114,Product 6114,Electronics,4,16.96,67.84
99,55,1,Customer 1,customer1@example.com,2026-03-01 07:52:01,255,8547,Product 8547,Electronics,9,71.48,643.32
100,56,1,Customer 1,customer1@example.com,2026-03-01 08:00:45,123,3328,Product 3328,Books,10,76.07,760.6999999999999
101,56,1,Customer 1,customer1@example.com,2026-03-01 08:00:45,123,6704,Product 6704,Home Goods,5,79.48,397.40000000000003
102,56,1,Customer 1,customer1@example.com,2026-03-01 08:00:45,123,3450,Product 3450,Electronics,6,22.35,134.10000000000002
103,57,1,Customer 1,customer1@example.com,2026-03-01 08:09:30,576,8406,Product 8406,Electronics,3,90.36,271.08
104,58,1,Customer 1,customer1@example.com,2026-03-01 08:18:14,685,9307,Product 9307,Books,7,4.38,30.66
105,58,1,Customer 1,customer1@example.com,2026-03-01 08:18:14,685,947,Product 947,Home Goods,5,29.74,148.7
106,59,1,Customer 1,customer1@example.com,2026-03-01 08:26:59,688,4258,Product 4258,Books,10,65.66,656.5999999999999
107,59,1,Customer 1,customer1@example.com,2026-03-01 08:26:59,688,5252,Product 5252,Home Goods,4,36.82,147.28
108,60,1,Customer 1,customer1@example.com,2026-03-01 08:35:43,1005,9185,Product 9185,Home Goods,7,60.84,425.88
109,60,1,Customer 1,customer1@example.com,2026-03-01 08:35:43,1005,5618,Product 5618,Home Goods,3,3.84,11.52
110,60,1,Customer 1,customer1@example.com,2026-03-01 08:35:43,1005,1789,Product 1789,Books,4,89.85,359.4
111,61,1,Customer 1,customer1@example.com,2026-03-01 08:44:28,690,1201,Product 1201,Books,2,45.18,90.36
112,62,1,Customer 1,customer1@example.com,2026-03-01 08:53:12,196,2470,Product 2470,Books,9,47.53,427.77
113,62,1,Customer 1,customer1@example.com,2026-03-01 08:53:12,196,1879,Product 1879,Books,5,98.71,493.54999999999995
114,62,1,Customer 1,customer1@example.com,2026-03-01 08:53:12,196,1206,Product 1206,Electronics,3,27.29,81.87
115,63,1,Customer 1,customer1@example.com,2026-03-01 09:01:57,405,2284,Product 2284,Books,4,41.46,165.84
116,63,1,Customer 1,customer1@example.com,2026-03-01 09:01:57,405,519,Product 519,Electronics,5,68.25,341.25
117,63,1,Customer 1,customer1@example.com,2026-03-01 09:01:57,405,23,Product 23,Home Goods,9,74.52,670.68
118,64,1,Customer 1,customer1@example.com,2026-03-01 09:10:41,584,2866,Product 2866,Books,8,26.48,211.84
119,64,1,Customer 1,customer1@example.com,2026-03-01 09:10:41,584,111,Product 111,Electronics,2,26.62,53.24
120,65,1,Customer 1,customer1@example.com,2026-03-01 09:19:26,252,3482,Product 3482,Home Goods,6,3.38,20.28
121,65,1,Customer 1,customer1@example.com,2026-03-01 09:19:26,252,4695,Product 4695,Electronics,9,95.09,855.8100000000001
122,65,1,Customer 1,customer1@example.com,2026-03-01 09:19:26,252,3873,Product 3873,Electronics,6,67.05,402.29999999999995
123,66,1,Customer 1,customer1@example.com,2026-03-01 09:28:10,338,1663,Product 1663,Books,4,81.68,326.72
124,66,1,Customer 1,customer1@example.com,2026-03-01 09:28:10,338,158,Product 158,Home Goods,7,83.54,584.7800000000001
125,67,1,Customer 1,customer1@example.com,2026-03-01 09:36:55,1031,2701,Product 2701,Books,1,11.64,11.64
126,67,1,Customer 1,customer1@example.com,2026-03-01 09:36:55,1031,6685,Product 6685,Books,6,41.95,251.70000000000002
127,68,1,Customer 1,customer1@example.com,2026-03-01 09:45:39,123,7349,Product 7349,Home Goods,9,81.42,732.78
128,69,1,Customer 1,customer1@example.com,2026-03-01 09:54:23,142,3258,Product 3258,Electronics,6,72.15,432.90000000000003
129,69,1,Customer 1,customer1@example.com,2026-03-01 09:54:23,142,8005,Product 8005,Books,5,41.29,206.45
130,70,1,Customer 1,customer1@example.com,2026-03-01 10:03:08,904,3673,Product 3673,Books,5,40.16,200.79999999999998
131,71,1,Customer 1,customer1@example.com,2026-03-01 10:11:52,108,5417,Product 5417,Home Goods,1,9.3,9.3
132,71,1,Customer 1,customer1@example.com,2026-03-01 10:11:52,108,483,Product 483,Electronics,7,79.34,555.38
133,72,1,Customer 1,customer1@example.com,2026-03-01 10:20:37,283,1917,Product 1917,Electronics,1,60.11,60.11
134,72,1,Customer 1,customer1@example.com,2026-03-01 10:20:37,283,5103,Product 5103,Electronics,4,27.18,108.72
135,73,1,Customer 1,customer1@example.com,2026-03-01 10:29:21,450,7527,Product 7527,Electronics,2,78.55,157.1
136,74,1,Customer 1,customer1@example.com,2026-03-01 10:38:06,951,225,Product 225,Electronics,1,63.92,63.92
137,74,1,Customer 1,customer1@example.com,2026-03-01 10:38:06,951,4004,Product 4004,Home Goods,1,59.97,59.97
138,74,1,Customer 1,customer1@example.com,2026-03-01 10:38:06,951,2225,Product 2225,Home Goods,8,48.64,389.12
139,75,1,Customer 1,customer1@example.com,2026-03-01 10:46:50,230,8972,Product 8972,Home Goods,8,42.0,336.0
140,75,1,Customer 1,customer1@example.com,2026-03-01 10:46:50,230,6288,Product 6288,Electronics,7,47.89,335.23
141,76,1,Customer 1,customer1@example.com,2026-03-01 10:55:35,115,1631,Product 1631,Home Goods,2,24.42,48.84
142,76,1,Customer 1,customer1@example.com,2026-03-01 10:55:35,115,8251,Product 8251,Books,2,92.4,184.8
143,77,1,Customer 1,customer1@example.com,2026-03-01 11:04:19,155,3688,Product 3688,Books,4,24.69,98.76
144,77,1,Customer 1,customer1@example.com,2026-03-01 11:04:19,155,7292,Product 7292,Home Goods,3,59.93,179.79
145,77,1,Customer 1,customer1@example.com,2026-03-01 11:04:19,155,4851,Product 4851,Electronics,6,92.21,553.26
146,78,1,Customer 1,customer1@example.com,2026-03-01 11:13:04,146,7066,Product 7066,Books,4,30.52,122.08
147,78,1,Customer 1,customer1@example.com,2026-03-01 11:13:04,146,5452,Product 5452,Books,5,8.69,43.449999999999996
148,78,1,Customer 1,customer1@example.com,2026-03-01 11:13:04,146,9690,Product 9690,Electronics,6,26.75,160.5
149,79,1,Customer 1,customer1@example.com,2026-03-01 11:21:48,902,2995,Product 2995,Books,5,99.28,496.4
150,79,1,Customer 1,customer1@example.com,2026-03-01 11:21:48,902,1565,Product 1565,Home Goods,9,46.0,414.0
151,80,1,Customer 1,customer1@example.com,2026-03-01 11:30:33,351,9642,Product 9642,Electronics,5,12.82,64.1
152,80,1,Customer 1,customer1@example.com,2026-03-01 11:30:33,351,7470,Product 7470,Electronics,3,58.55,175.64999999999998
153,80,1,Customer 1,customer1@example.com,2026-03-01 11:30:33,351,7408,Product 7408,Books,10,92.76,927.6
154,81,1,Customer 1,customer1@example.com,2026-03-01 11:39:17,662,2372,Product 2372,Home Goods,4,63.39,253.56
155,82,1,Customer 1,customer1@example.com,2026-03-01 11:48:02,538,4744,Product 4744,Books,8,18.59,148.72
156,83,1,Customer 1,customer1@example.com,2026-03-01 11:56:46,530,8367,Product 8367,Electronics,10,93.1,931.0
157,83,1,Customer 1,customer1@example.com,2026-03-01 11:56:46,530,9067,Product 9067,Books,2,64.73,129.46
158,83,1,Customer 1,customer1@example.com,2026-03-01 11:56:46,530,5628,Product 5628,Electronics,10,29.18,291.8
159,84,1,Customer 1,customer1@example.com,2026-03-01 12:05:31,804,9003,Product 9003,Electronics,3,9.54,28.619999999999997
160,84,1,Customer 1,customer1@example.com,2026-03-01 12:05:31,804,8232,Product 8232,Electronics,6,85.33,511.98
161,84,1,Customer 1,customer1@example.com,2026-03-01 12:05:31,804,7433,Product 7433,Home Goods,9,22.58,203.21999999999997
162,85,1,Customer 1,customer1@example.com,2026-03-01 12:14:15,416,1174,Product 1174,Books,9,69.21,622.89
163,86,1,Customer 1,customer1@example.com,2026-03-01 12:22:59,645,8831,Product 8831,Home Goods,8,23.68,189.44
164,86,1,Customer 1,customer1@example.com,2026-03-01 12:22:59,645,6325,Product 6325,Books,9,85.13,766.17
165,86,1,Customer 1,customer1@example.com,2026-03-01 12:22:59,645,7149,Product 7149,Electronics,3,66.19,198.57
166,87,1,Customer 1,customer1@example.com,2026-03-01 12:31:44,265,1408,Product 1408,Books,4,42.74,170.96
167,88,1,Customer 1,customer1@example.com,2026-03-01 12:40:28,580,850,Product 850,Books,4,94.07,376.28
168,88,1,Customer 1,customer1@example.com,2026-03-01 12:40:28,580,3568,Product 3568,Books,8,42.32,338.56
169,88,1,Customer 1,customer1@example.com,2026-03-01 12:40:28,580,3527,Product 3527,Home Goods,7,35.84,250.88000000000002
170,89,1,Customer 1,customer1@example.com,2026-03-01 12:49:13,277,2295,Product 2295,Electronics,1,15.41,15.41
171,89,1,Customer 1,customer1@example.com,2026-03-01 12:49:13,277,3651,Product 3651,Electronics,1,63.86,63.86
172,90,1,Customer 1,customer1@example.com,2026-03-01 12:57:57,424,1797,Product 1797,Electronics,8,58.87,470.96
173,90,1,Customer 1,customer1@example.com,2026-03-01 12:57:57,424,3026,Product 3026,Home Goods,9,78.36,705.24
174,91,1,Customer 1,customer1@example.com,2026-03-01 13:06:42,192,606,Product 606,Electronics,2,89.21,178.42
175,91,1,Customer 1,customer1@example.com,2026-03-01 13:06:42,192,8754,Product 8754,Electronics,4,96.44,385.76
176,91,1,Customer 1,customer1@example.com,2026-03-01 13:06:42,192,2854,Product 2854,Books,5,69.82,349.09999999999997
177,92,1,Customer 1,customer1@example.com,2026-03-01 13:15:26,471,7896,Product 7896,Electronics,4,19.49,77.96
178,92,1,Customer 1,customer1@example.com,2026-03-01 13:15:26,471,8433,Product 8433,Electronics,9,87.9,791.1
179,92,1,Customer 1,customer1@example.com,2026-03-01 13:15:26,471,7255,Product 7255,Books,1,77.09,77.09
180,93,1,Customer 1,customer1@example.com,2026-03-01 13:24:11,178,5129,Product 5129,Home Goods,5,65.23,326.15000000000003
181,93,1,Customer 1,customer1@example.com,2026-03-01 13:24:11,178,5847,Product 5847,Electronics,10,100.32,1003.1999999999999
182,94,1,Customer 1,customer1@example.com,2026-03-01 13:32:55,114,5196,Product 5196,Electronics,7,93.7,655.9
183,94,1,Customer 1,customer1@example.com,2026-03-01 13:32:55,114,3657,Product 3657,Electronics,1,15.85,15.85
184,95,1,Customer 1,customer1@example.com,2026-03-01 13:41:40,904,1843,Product 1843,Books,7,27.15,190.04999999999998
185,95,1,Customer 1,customer1@example.com,2026-03-01 13:41:40,904,7802,Product 7802,Home Goods,2,40.94,81.88
186,96,1,Customer 1,customer1@example.com,2026-03-01 13:50:24,472,9168,Product 9168,Electronics,6,36.34,218.04000000000002
187,96,1,Customer 1,customer1@example.com,2026-03-01 13:50:24,472,9995,Product 9995,Home Goods,5,42.18,210.9
188,96,1,Customer 1,customer1@example.com,2026-03-01 13:50:24,472,7071,Product 7071,Electronics,3,69.1,207.29999999999998
189,97,1,Customer 1,customer1@example.com,2026-03-01 13:59:09,940,1077,Product 1077,Electronics,9,91.07,819.6299999999999
190,97,1,Customer 1,customer1@example.com,2026-03-01 13:59:09,940,9134,Product 9134,Home Goods,2,26.74,53.48
191,97,1,Customer 1,customer1@example.com,2026-03-01 13:59:09,940,5226,Product 5226,Electronics,10,17.31,173.1
192,98,1,Customer 1,customer1@example.com,2026-03-01 14:07:53,952,2911,Product 2911,Books,7,40.22,281.53999999999996
193,98,1,Customer 1,customer1@example.com,2026-03-01 14:07:53,952,3595,Product 3595,Books,6,7.02,42.12
194,98,1,Customer 1,customer1@example.com,2026-03-01 14:07:53,952,5364,Product 5364,Electronics,6,89.35,536.0999999999999
195,99,1,Customer 1,customer1@example.com,2026-03-01 14:16:38,311,3153,Product 3153,Electronics,2,57.0,114.0
196,99,1,Customer 1,customer1@example.com,2026-03-01 14:16:38,311,8654,Product 8654,Home Goods,9,90.6,815.4
197,99,1,Customer 1,customer1@example.com,2026-03-01 14:16:38,311,9199,Product 9199,Books,9,58.2,523.8000000000001
198,100,1,Customer 1,customer1@example.com,2026-03-01 14:25:22,304,4263,Product 4263,Electronics,3,67.7,203.10000000000002
199,100,1,Customer 1,customer1@example.com,2026-03-01 14:25:22,304,3135,Product 3135,Electronics,4,53.7,214.8
200,101,1,Customer 1,customer1@example.com,2026-03-01 14:34:06,142,2547,Product 2547,Electronics,1,29.44,29.44
201,101,1,Customer 1,customer1@example.com,2026-03-01 14:34:06,142,2389,Product 2389,Books,1,90.01,90.01
202,102,1,Customer 1,customer1@example.com,2026-03-01 14:42:51,129,4444,Product 4444,Books,7,32.99,230.93
203,103,1,Customer 1,customer1@example.com,2026-03-01 14:51:35,320,2225,Product 2225,Home Goods,8,48.64,389.12
204,103,1,Customer 1,customer1@example.com,2026-03-01 14:51:35,320,7118,Product 7118,Home Goods,8,31.43,251.44
205,103,1,Customer 1,customer1@example.com,2026-03-01 14:51:35,320,2507,Product 2507,Home Goods,1,81.03,81.03
206,104,1,Customer 1,customer1@example.com,2026-03-01 15:00:20,806,9192,Product 9192,Electronics,3,41.14,123.42
207,104,1,Customer 1,customer1@example.com,2026-03-01 15:00:20,806,1954,Product 1954,Books,8,65.74,525.92
208,104,1,Customer 1,customer1@example.com,2026-03-01 15:00:20,806,9541,Product 9541,Books,9,10.21,91.89000000000001
209,105,1,Customer 1,customer1@example.com,2026-03-01 15:09:04,266,2034,Product 2034,Electronics,2,73.83,147.66
210,106,1,Customer 1,customer1@example.com,2026-03-01 15:17:49,740,7156,Product 7156,Books,10,16.02,160.2
211,106,1,Customer 1,customer1@example.com,2026-03-01 15:17:49,740,3482,Product 3482,Home Goods,8,3.38,27.04
212,106,1,Customer 1,customer1@example.com,2026-03-01 15:17:49,740,905,Product 905,Home Goods,9,96.64,869.76
213,107,1,Customer 1,customer1@example.com,2026-03-01 15:26:33,354,4344,Product 4344,Electronics,2,48.24,96.48
214,107,1,Customer 1,customer1@example.com,2026-03-01 15:26:33,354,6591,Product 6591,Electronics,2,10.31,20.62
215,107,1,Customer 1,customer1@example.com,2026-03-01 15:26:33,354,183,Product 183,Electronics,5,85.62,428.1
216,108,1,Customer 1,customer1@example.com,2026-03-01 15:35:18,609,296,Product 296,Home Goods,7,53.54,374.78
217,108,1,Customer 1,customer1@example.com,2026-03-01 15:35:18,609,3475,Product 3475,Books,2,61.89,123.78
218,109,1,Customer 1,customer1@example.com,2026-03-01 15:44:02,408,4731,Product 4731,Electronics,2,42.1,84.2
219,109,1,Customer 1,customer1@example.com,2026-03-01 15:44:02,408,5676,Product 5676,Electronics,7,16.38,114.66
220,110,1,Customer 1,customer1@example.com,2026-03-01 15:52:47,493,7512,Product 7512,Electronics,9,57.63,518.6700000000001
221,110,1,Customer 1,customer1@example.com,2026-03-01 15:52:47,493,5339,Product 5339,Home Goods,4,91.05,364.2
222,110,1,Customer 1,customer1@example.com,2026-03-01 15:52:47,493,2747,Product 2747,Home Goods,7,75.08,525.56
223,111,1,Customer 1,customer1@example.com,2026-03-01 16:01:31,928,2293,Product 2293,Books,4,46.4,185.6
224,111,1,Customer 1,customer1@example.com,2026-03-01 16:01:31,928,2935,Product 2935,Books,10,45.96,459.6
225,111,1,Customer 1,customer1@example.com,2026-03-01 16:01:31,928,4088,Product 4088,Home Goods,2,95.12,190.24
226,112,1,Customer 1,customer1@example.com,2026-03-01 16:10:16,905,6656,Product 6656,Home Goods,4,95.36,381.44
227,112,1,Customer 1,customer1@example.com,2026-03-01 16:10:16,905,8252,Product 8252,Home Goods,4,9.83,39.32
228,112,1,Customer 1,customer1@example.com,2026-03-01 16:10:16,905,1263,Product 1263,Electronics,5,51.97,259.85
229,113,1,Customer 1,customer1@example.com,2026-03-01 16:19:00,644,6901,Product 6901,Books,2,17.33,34.66
230,114,1,Customer 1,customer1@example.com,2026-03-01 16:27:45,542,18,Product 18,Electronics,5,85.12,425.6
231,114,1,Customer 1,customer1@example.com,2026-03-01 16:27:45,542,3827,Product 3827,Home Goods,1,92.17,92.17
232,114,1,Customer 1,customer1@example.com,2026-03-01 16:27:45,542,3145,Product 3145,Books,6,92.52,555.12
233,115,1,Customer 1,customer1@example.com,2026-03-01 16:36:29,248,9174,Product 9174,Electronics,3,88.14,264.42
234,115,1,Customer 1,customer1@example.com,2026-03-01 16:36:29,248,6399,Product 6399,Electronics,9,9.01,81.09
